Date : 2023-03-06 16:35:47
Directory : /home/lewis/winterwell/my-loop
Total : 557 files,  51864 codes, 11483 comments, 6438 blanks, all 69785 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/lewis/winterwell/my-loop/src/style/print.less                                                | Less               |          1 |          0 |          1 |          2 |
| /home/lewis/winterwell/my-loop/src/style/website-colours.less                                      | Less               |          0 |          3 |          5 |          8 |
| /home/lewis/winterwell/my-loop/ssl.my.good-loop.com.conf                                           | Properties         |          2 |          0 |          1 |          3 |
| /home/lewis/winterwell/my-loop/teamcity.ci.builder.sh                                              | Shell Script       |         13 |          1 |          1 |         15 |
| /home/lewis/winterwell/my-loop/templates/google-tag-manager.html                                   | HTML               |          8 |          9 |          4 |         21 |
| /home/lewis/winterwell/my-loop/templates/meta.html                                                 | HTML               |         18 |         11 |          5 |         34 |
| /home/lewis/winterwell/my-loop/templates/template.html                                             | HTML               |         48 |          4 |         10 |         62 |
| /home/lewis/winterwell/my-loop/tsconfig.json                                                       | JSON with Comments |         28 |          0 |          2 |         30 |
| /home/lewis/winterwell/my-loop/watch.sh                                                            | Shell Script       |          7 |          1 |          1 |          9 |
| /home/lewis/winterwell/my-loop/web/config.xml                                                      | XML                |         51 |          7 |         10 |         68 |
| /home/lewis/winterwell/my-loop/web/fonts/fontawesome-webfont.svg                                   | XML                |      2,671 |          0 |          1 |      2,672 |
| /home/lewis/winterwell/my-loop/web/img/15-second.svg                                               | XML                |          4 |          0 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/img/About-t4g-blob.svg                                          | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/Impact/Good-Loop_CarbonNeutralAd_Logo_Final-05.svg          | XML                |        403 |          1 |          2 |        406 |
| /home/lewis/winterwell/my-loop/web/img/Impact/curves-background.svg                                | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/Impact/map-loading-screen.svg                               | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/Impact/waves.svg                                            | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/iphone-mockup-landscape.svg               | XML                |         56 |          0 |          1 |         57 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/iphone-mockup-portrait.svg                | XML                |         58 |          0 |          1 |         59 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/svg-desktop/infographic-2.svg             | XML                |         64 |          0 |          0 |         64 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/svg-desktop/infographic.svg               | XML                |        912 |         37 |         41 |        990 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/svg-mobile/infographic.svg                | XML                |        195 |          1 |          9 |        205 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/svg-mobile/mobile-splash-background-0.svg | XML                |        145 |          0 |          1 |        146 |
| /home/lewis/winterwell/my-loop/web/img/LandingBackground/svg-mobile/mobile-splash-background-2.svg | XML                |         14 |          0 |          1 |         15 |
| /home/lewis/winterwell/my-loop/web/img/LandingCharity/splash-screen-bground.svg                    | XML                |         19 |          0 |          1 |         20 |
| /home/lewis/winterwell/my-loop/web/img/LandingCharity/t4g-splash-screen-background.svg             | XML                |         13 |          0 |          1 |         14 |
| /home/lewis/winterwell/my-loop/web/img/LandingCharity/veganuary-logo.svg                           | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/TabsForGood/About-t4g-blob.svg                              | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/TabsForGood/WelcomePage/About-t4g-blob.svg                  | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/TabsForGood/WelcomePage/my_good-loop_Colour_RoundLogo.svg   | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/TabsForGood/WelcomePage/our-mission-background-lg.svg       | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/TabsForGood/t4g-splash-screen-background.svg                | XML                |         13 |          0 |          1 |         14 |
| /home/lewis/winterwell/my-loop/web/img/background-curve-plus-bar.svg                               | XML                |         36 |          0 |          1 |         37 |
| /home/lewis/winterwell/my-loop/web/img/background-curve.svg                                        | XML                |         35 |          0 |          1 |         36 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-dark-turquoise-bottom.svg                      | XML                |          3 |          0 |          1 |          4 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-dark-turquoise.svg                             | XML                |         37 |          0 |          1 |         38 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-desat-blue-bottom.svg                          | XML                |         11 |          0 |          0 |         11 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-desat-blue-round-bottom.svg                    | XML                |         12 |          0 |          1 |         13 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-desat-blue.svg                                 | XML                |         53 |          0 |          1 |         54 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-impact-red.svg                                 | XML                |         37 |          0 |          1 |         38 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-light-pink.svg                                 | XML                |         53 |          0 |          1 |         54 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-lighter-blue.svg                               | XML                |         55 |          0 |          1 |         56 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-pale-orange.svg                                | XML                |         55 |          0 |          1 |         56 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-pink.svg                                       | XML                |         53 |          0 |          1 |         54 |
| /home/lewis/winterwell/my-loop/web/img/curves/curve-white.svg                                      | XML                |         53 |          0 |          1 |         54 |
| /home/lewis/winterwell/my-loop/web/img/curves/mobile-curve-white.svg                               | XML                |         10 |          0 |          1 |         11 |
| /home/lewis/winterwell/my-loop/web/img/doinggoodfeelsgood.svg                                      | XML                |         29 |          0 |          2 |         31 |
| /home/lewis/winterwell/my-loop/web/img/flat-bg-bar.svg                                             | XML                |         40 |          0 |          1 |         41 |
| /home/lewis/winterwell/my-loop/web/img/footer/B-corp.svg                                           | XML                |         28 |          0 |          1 |         29 |
| /home/lewis/winterwell/my-loop/web/img/footer/Net-carbon-negative.svg                              | XML                |         11 |          0 |          1 |         12 |
| /home/lewis/winterwell/my-loop/web/img/footer/newsletter-background.svg                            | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/getinvolved/back-wave-lg.svg                                | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/getinvolved/back-wave-s.svg                                 | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/getinvolved/front-wave-lg.svg                               | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/getinvolved/getinvolved-background.svg                      | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/getinvolved/raise-money-blob.svg                            | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/getinvolved/trees-icon.svg                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/AdsForGood/AdsForGood.svg                           | XML                |        181 |          1 |          3 |        185 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/LogoMark/logo.blue.svg                              | XML                |         79 |          0 |          1 |         80 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/LogoMark/logo.bw.svg                                | XML                |         57 |          0 |          1 |         58 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/LogoMark/logo.green.svg                             | XML                |         77 |          0 |          1 |         78 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/LogoMark/logo.outline.svg                           | XML                |         73 |          0 |          1 |         74 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/LogoMark/logo.svg                                   | XML                |         77 |          0 |          1 |         78 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/LogoMark/logo.w-backdrop.svg                        | XML                |         92 |          0 |          1 |         93 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/TabsForGood/TabsForGoodLogo.svg                     | XML                |         11 |          0 |          1 |         12 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/chrome-logo.svg                            | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/edge-logo.svg                              | XML                |          1 |          0 |          1 |          2 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/facebook-logo.svg                          | XML                |         56 |          1 |          1 |         58 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/github-logo.svg                            | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/google-sheets-logo.svg                     | XML                |         15 |          1 |          1 |         17 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/safari-logo.svg                            | XML                |        238 |          1 |          2 |        241 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/scope3-logo.svg                            | XML                |         18 |          0 |          1 |         19 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/scope3-logo.wb.svg                         | XML                |         18 |          0 |          1 |         19 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/external/twitter-logo.svg                           | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/rectangle/logo-name.bw.svg                          | XML                |        110 |          0 |          1 |        111 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/rectangle/logo-name.svg                             | XML                |        131 |          0 |          1 |        132 |
| /home/lewis/winterwell/my-loop/web/img/gl-logo/rectangle/logo-name.wb.svg                          | XML                |        110 |          0 |          1 |        111 |
| /home/lewis/winterwell/my-loop/web/img/good-loop-logo-alt-white-resized.svg                        | XML                |         92 |          0 |          1 |         93 |
| /home/lewis/winterwell/my-loop/web/img/good-loop-logo-alt-white.svg                                | XML                |         17 |          0 |          1 |         18 |
| /home/lewis/winterwell/my-loop/web/img/good-loop-logo-primary.svg                                  | XML                |        139 |          0 |          1 |        140 |
| /home/lewis/winterwell/my-loop/web/img/green/dashboard-background.svg                              | XML                |        162 |          0 |          0 |        162 |
| /home/lewis/winterwell/my-loop/web/img/green/dashboard/impact-button.svg                           | XML                |         78 |          0 |          1 |         79 |
| /home/lewis/winterwell/my-loop/web/img/green/dashboard/metrics-button.svg                          | XML                |          4 |          0 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/img/green/dashboard/optim-button.svg                            | XML                |          4 |          0 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/img/green/dashboard/profile-button.svg                          | XML                |          5 |          0 |          1 |          6 |
| /home/lewis/winterwell/my-loop/web/img/green/dashboard/tags-button.svg                             | XML                |          4 |          0 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/img/green/eden-projects-logo.svg                                | XML                |        206 |          0 |          1 |        207 |
| /home/lewis/winterwell/my-loop/web/img/green/gl-carbon-neutral.svg                                 | XML                |        210 |          1 |          1 |        212 |
| /home/lewis/winterwell/my-loop/web/img/green/login-background.svg                                  | XML                |         32 |          0 |          1 |         33 |
| /home/lewis/winterwell/my-loop/web/img/green/more-info-background.svg                              | XML                |        404 |          0 |          1 |        405 |
| /home/lewis/winterwell/my-loop/web/img/green/tree-light.svg                                        | XML                |          4 |          0 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/img/green/tree.svg                                              | XML                |          3 |          0 |          1 |          4 |
| /home/lewis/winterwell/my-loop/web/img/green/world-map.svg                                         | XML                |      1,928 |          0 |          1 |      1,929 |
| /home/lewis/winterwell/my-loop/web/img/heres-how-it-works-wide.svg                                 | XML                |        161 |          0 |          1 |        162 |
| /home/lewis/winterwell/my-loop/web/img/heres-how-it-works.svg                                      | XML                |        159 |          0 |          1 |        160 |
| /home/lewis/winterwell/my-loop/web/img/homepage/curve-2.svg                                        | XML                |         12 |          0 |          1 |         13 |
| /home/lewis/winterwell/my-loop/web/img/homepage/curve.svg                                          | XML                |         10 |          0 |          1 |         11 |
| /home/lewis/winterwell/my-loop/web/img/homepage/mobile-curve.svg                                   | XML                |         10 |          0 |          1 |         11 |
| /home/lewis/winterwell/my-loop/web/img/homepage/mobile-splash-background-0.svg                     | XML                |        145 |          0 |          1 |        146 |
| /home/lewis/winterwell/my-loop/web/img/homepage/mobile-splash-background-2.svg                     | XML                |         14 |          0 |          1 |         15 |
| /home/lewis/winterwell/my-loop/web/img/homepage/movement-blob-images.svg                           | XML                |         13 |          0 |          0 |         13 |
| /home/lewis/winterwell/my-loop/web/img/homepage/movement-blob.svg                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-mission-background-lg.svg                      | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-mission-bground.svg                            | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-mission-blob-with-bubbles.svg                  | XML                |         19 |          0 |          0 |         19 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-mission-blob.svg                               | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-movement-background-lg.svg                     | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-movement-bground-bg.svg                        | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-movement-bground-front.svg                     | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-movement-bground.svg                           | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/our-movement-front-curve.svg                       | XML                |         11 |          0 |          0 |         11 |
| /home/lewis/winterwell/my-loop/web/img/homepage/quote-blue.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/quote-red.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/quote.svg                                          | XML                |         10 |          0 |          1 |         11 |
| /home/lewis/winterwell/my-loop/web/img/homepage/splash-screen-bground.svg                          | XML                |         19 |          0 |          1 |         20 |
| /home/lewis/winterwell/my-loop/web/img/homepage/testimonial-blob-logo.svg                          | XML                |         12 |          0 |          0 |         12 |
| /home/lewis/winterwell/my-loop/web/img/homepage/testimonial-blob-long.svg                          | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/testimonial-blob-mid.svg                           | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/testimonial-blob.svg                               | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/homepage/world-map-background.svg                           | XML                |        924 |          0 |          1 |        925 |
| /home/lewis/winterwell/my-loop/web/img/homepage/world-map.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/icons/down-arrow.svg                                        | XML                |         10 |          0 |          1 |         11 |
| /home/lewis/winterwell/my-loop/web/img/icons/edit-icon.svg                                         | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/iphone-frame-16-9-padded-notch-portrait.svg                 | XML                |         61 |          0 |          0 |         61 |
| /home/lewis/winterwell/my-loop/web/img/iphone-frame-16-9-padded-notch.svg                          | XML                |         51 |          0 |          0 |         51 |
| /home/lewis/winterwell/my-loop/web/img/lightcurve.svg                                              | XML                |        164 |          0 |          1 |        165 |
| /home/lewis/winterwell/my-loop/web/img/littleflowers.svg                                           | XML                |          6 |          0 |          2 |          8 |
| /home/lewis/winterwell/my-loop/web/img/logo-green-dashboard.svg                                    | XML                |         83 |          0 |          1 |         84 |
| /home/lewis/winterwell/my-loop/web/img/logo-in-pill.svg                                            | XML                |         15 |          0 |          1 |         16 |
| /home/lewis/winterwell/my-loop/web/img/logo-white.svg                                              | XML                |         62 |          0 |          1 |         63 |
| /home/lewis/winterwell/my-loop/web/img/logo/my-loop-logo-flat.svg                                  | XML                |         30 |          0 |          0 |         30 |
| /home/lewis/winterwell/my-loop/web/img/logo/my-loop-logo-round.svg                                 | XML                |         23 |          0 |          0 |         23 |
| /home/lewis/winterwell/my-loop/web/img/my_good-loop_Colour_RoundLogo.svg                           | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/arrow-down-white.svg                                 | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/arrow-down.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/arrow-up-white.svg                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/arrow-up.svg                                         | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/circle-no-tick.svg                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/circle-tick.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/info-circle.svg                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/plus_whitebg.svg                                     | XML                |          6 |          0 |          0 |          6 |
| /home/lewis/winterwell/my-loop/web/img/mydata/product-page/blob-1.svg                              | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/product-page/blob-2.svg                              | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/product-page/blob-3.svg                              | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/product-page/mydata-background.svg                   | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/product-page/phone-placeholder.svg                   | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/product-page/testimonial-blob.svg                    | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/mydata/tick-white.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/new-logo-white.svg                                          | XML                |          9 |          0 |          0 |          9 |
| /home/lewis/winterwell/my-loop/web/img/new-logo-with-text-white.svg                                | XML                |         17 |          0 |          2 |         19 |
| /home/lewis/winterwell/my-loop/web/img/new-logo-with-text.svg                                      | XML                |         18 |          0 |          2 |         20 |
| /home/lewis/winterwell/my-loop/web/img/new-logo.svg                                                | XML                |         11 |          0 |          1 |         12 |
| /home/lewis/winterwell/my-loop/web/img/our-mission-background-lg.svg                               | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/ourimpact/ourimpact-header-background.svg                   | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/ourimpact/projects-globe.svg                                | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/plus.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/img/pub-logos/Herald.svg                                        | XML                |         50 |          1 |          0 |         51 |
| /home/lewis/winterwell/my-loop/web/img/redcurve.svg                                                | XML                |         70 |          0 |          1 |         71 |
| /home/lewis/winterwell/my-loop/web/img/redgirl-crop-Xflipped.svg                                   | XML                |        140 |          0 |          1 |        141 |
| /home/lewis/winterwell/my-loop/web/img/redgirl-crop.svg                                            | XML                |         32 |          0 |          2 |         34 |
| /home/lewis/winterwell/my-loop/web/img/redgirl-full.svg                                            | XML                |         43 |          0 |          2 |         45 |
| /home/lewis/winterwell/my-loop/web/img/share/Email.svg                                             | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/share/Facebook.svg                                          | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/share/LinkedIn.svg                                          | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/share/ShareBubble.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/share/Twitter.svg                                           | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/splash-screen/background-0.svg                              | XML                |        139 |          0 |          1 |        140 |
| /home/lewis/winterwell/my-loop/web/img/splash-screen/background-2.svg                              | XML                |         10 |          0 |          1 |         11 |
| /home/lewis/winterwell/my-loop/web/img/splash-screen/background-loading.svg                        | XML                |        135 |          4 |          1 |        140 |
| /home/lewis/winterwell/my-loop/web/img/splash-screen/background-mobile.svg                         | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/splash-screen/splash-screen-bground-lg.svg                  | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/splash-screen/svg-bg-lg.svg                                 | XML                |          1 |          0 |          0 |          1 |
| /home/lewis/winterwell/my-loop/web/img/vertiser-logos/bg-logo-mobile.svg                           | XML                |         74 |          1 |          3 |         78 |
| /home/lewis/winterwell/my-loop/web/js-data/mapdefs-AU.json                                         | JSON               |         19 |          0 |          0 |         19 |
| /home/lewis/winterwell/my-loop/web/js-data/mapdefs-US.json                                         | JSON               |         71 |          0 |          1 |         72 |
| /home/lewis/winterwell/my-loop/web/js-data/mapdefs-world.json                                      | JSON               |        230 |          0 |          0 |        230 |
| /home/lewis/winterwell/my-loop/web/manifest.webmanifest                                            | JSON               |         28 |          0 |          0 |         28 |
| /home/lewis/winterwell/my-loop/web/style/font-awesome.css                                          | CSS                |          1 |          3 |          1 |          5 |
| /home/lewis/winterwell/my-loop/web/test/test-all.html                                              | HTML               |         23 |          3 |          8 |         34 |
| /home/lewis/winterwell/my-loop/webpack.config.js                                                   | JavaScript         |        101 |         29 |         11 |        141 |
| Total                                                                                              |                    |     51,864 |     11,483 |      6,438 |     69,785 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
